id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
,신촌 블루스 2집 - 신촌 Blues 2,https://i.namu.wiki/i/G9XnSGOjF1S2IcuePIDsWRrVfq0BpDnnrJYK_FNnuR6WdqR94DUWbRVUqNGmCEMOjpCjXCeSCv1BjTWrGSVZf9ZwGiEKn-g1xyXYO2ZJUM_45Ok1tSuunk0hGntKcY7rKftpwL8vvi9U5DwW-Ox_lw.webp,국내/가요,1989,대한민국,A-3-1,신촌 블루스,"황혼
바람인가, 빗속에서
산위에 올라
환상
아무말도 없이 떠나요","골목길
또 하나의 내가 있다면
빗속에 서있는 여자
루씰",,,,,,,,,,,,,,,,,,
,넥스트 2집 - The Return of N.EX.T Part 1: The Being,,국내/가요,1994,대한민국,,넥스트,"The return of N.EX.T(instrument)
The destruction of the shell: 껍질의 파괴
이중 인격자
The dreamer","날아라 병아리
나는 남들과 다르다
Life Manufacturing(instrument): 생명생산
The Ocean: 불멸에 관하여",,,,,,,,,,,,,,,,,,
,신해철 2집 - Myself,https://i.namu.wiki/i/ixBd7nOYMuFpSQyrSutAWLQdUgBcG7y43u5tJDJoBu5canWwU6Wz3fkqVwYFDkKE9UNXYCR3QhUkpqY5bd5PjlkrSfJa3s3H60v-bWbfsBlKrs_ULxIiaNdpa0tG11khrFQrmAAgZLYQHusaDiHVZw.webp,국내/가요,1991,대한민국,,신해철,"The Greatest Beginnig
재즈 카페
나에게 쓰는 편지
다시 비가 내리네
그대에게","내 마음 깊은 곳의 너
아주 오랜 후에야
50년 후의 내 모습
길 위에서",,,,,,,,,,,,,,,,,,
,양희은 고운노래 모음,https://i.namu.wiki/i/VwopjFCuro99AtC-qbSS0tmhmrw4qiKOtqTI_ZMuUMoF3G8rZrheecNdmQi_zRkbzbuwNjkuQzUyYa80GBeR8_SABnfOzvuINlgQ8qpqy7cg39z7mLu9bdK3gu72KtS1scLoLgj4RuLGW7X08PHYew.jpg,국내/가요,1971,,,양희은,"아침이슬
엄마 엄마
세노야 세노야
그 날
사랑의 기쁨","Puff
일곱송이 수선화
잊지 못할 추억
Both Sides Now(구름 사랑 그리고 인생)
All My Trials Lord",,,,,,,,,,,,,,,,,,
,양희은 1991(양희은 20주년 기념 앨범),https://i.namu.wiki/i/xipOHTi-mDmlSbI02g77i779D7iDvZoKPvpu4I2zH1FHXipGMeLoJyLhJ7mCncT2gjbnyDRHBsGkkh3_wGuad2rh64nhSe63s0kF7uK_hhGBGm8ciW0dhNZXdkLUJHzDeT8AdP6adQbNJ-CxHA5KWQ.webp,국내/가요,1991,,,양희은,"그해 겨울
그리운 친구에게
가을 아침
저 바람은 어디서?","11월 그 저녁에
나무와 아이
사랑 그 쓸쓸함에 대하여
잠들기 바로 전",,,,,,,,,,,,,,,,,,
,언니네 이발관 1집 - 비둘기는 하늘의 쥐,https://i.namu.wiki/i/oEJiKC30Lxq9mxdn8JLzbxzwrTs8ymTwXEPHJUYZ-wmiipGCRNA3OcRaPworXCiKG5ByAfuUXeq-7yBfkFciPXlfIZelUXdqJ2Cb__pTRtqfvBXEL85sI90ugaJmP4d9sMkV26C_CIX8muGqbr_4iA.webp,국내/가요,1996,,,언니네 이발관,"푸훗
동경
보여줄순 없겠지","쥐는 너야
생일기분
우스운 오후","팬클럽
로랜드고릴라
상업그런지","미움의 제국
소년
산책끝추격전",,,,,,,,,,,,,,,,
,언니네 이발관 2집 - 후일담,https://i.namu.wiki/i/GVup5NjyDL5yt1rBHKtFVN3knzBXTHWp0ft3Oi34YV3zK8g8NRQu9nnhsTO6Au604XKU0FUEL_AlWZXCp681yXKsL5ewwaXlQQUro7FjNWRlSG-1zdGAaRT9mKxgRVMD37J6TdjjZU5g47VbhI1ldw.webp,국내/가요,2017,,,언니네 이발관,"유리
어제 만난 슈팅스타
실락원","꿈의 팝송
순수함이라곤 없는 정
다음 곡은 뭐죠?","어떤날
무명택시","인샬라
인생의 별
청승고백
너의 비밀의 화원",,,,,,,,,,,,,,,,
,어떤날 1집 - 1960.1965,https://i.namu.wiki/i/QhHpq7hWYUffYAqHWFzfPPwAPBerqgS3MJga7xKAu4U-9xARW3dL6FSvWbiiPQkzbJx0fgDBEb6yK-xFV0ITbNJf3rvm-R_WsqX1IEVUPieU74WwkBr_mSUiEQHlBZZnUAcyUum4Unl1NXviHfTszg.webp,국내/가요,1986,대한민국,,어떤날,"하늘
오래된 친구
그날
지금 그대는
오늘은","너무 아쉬워 하지마
겨울 하루
비오는 날이면
오후만 있던 일요일",,,,,,,,,,,,,,,,,,
,어떤날 2집 - 조동익.이병우,https://i.namu.wiki/i/nfdOmTzCYQ8weZOEwykCITbqloUiW4wSgzSXhiQ4SrrcbsGdRYYKPlOFsBWnL7G23RDxEoDPWHk2JZDV60s-idN3A0yy1ji8XW5d2hkOc8zZY_hk7Az9HFG11aEhhZPwDKcpMBJU792p65TfpyFL6Q.webp,국내/가요,2019,대한민국,,어떤날,"출발
초생달
하루
醉中獨白(취중독백)","덧없는 계절
소녀여
그런 날에는
11월 그 저녁에",,,,,,,,,,,,,,,,,,
,우리노래전시회 1집 - 8인 옴니버스,https://i.namu.wiki/i/lbObwk955oeK0ItMxwOoVw4I1T816lu0SYlD7oIZs3_PRGn5yIFBiVZEcQ3Sc9-753LJkjGYPoaGxosdaDvJ4Rz_jKoGT-JRxyOwTirMtQEaxSvd5cvrFFOdnVX8Fj3oOW29gqlY0DKph8JrlxRosA.webp,국내/가요,1985,대한민국,,"우리노래전시회(이광조, 전인권, 시인과 촌장, 어떤날, 강인원, 최성원, 박주연, 양병집)","오 그대는 아름다운 여인
그것만이 내세상
비둘기에게
너무 아쉬워 하지마","매일 그대와
제발
그댄 왠지 달라요
이세상 사랑이
손모아 마음모아",,,,,,,,,,,,,,,,,,
