id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
,ISANG YUN LOYANG REAK,,국내/클래식,,,,윤이상,"室内果卖
奏のための
西トイツ放送交響楽団
Leitung:Hans Zender
指案
ノス·ツェンダ
ヴァイオリーとビアノのための
歌詞 カーサ)

ザシュコ·ガウリロフウーィイリー
ベルンハルト·コンシルスキーキア!","大オービストラの伝めけ
礼聚くレーアク

Leitung:Ernest Bour

南西トイツ放送交響楽区
指痛ーエルネスト·プッント

Tuyaux sonores, fur Orgel 11 25

オルガンのための

Gerd Zacher (Orgel)

トゥミー·ソノーレ",,,,,,,,,,,,,,,,,,
,최현수 리사이틀,,국내/클래식,1991,대한민국,,최현수,"F. Schubert 슈베르트
1. Der Lindenbaum 보리수
2. Die Forelle 송어
. Der Neugierige 알고자하는 마음
1. Standchen 세레나데
P.I. Tchaikovsky 차이코프스키
5. Net, tolko tot kto znal 다만 그리움을 아는 이만이
(None, but the lonely heart)
6. Snova, kak prezhde, adeen 예전같이 나는 홀로라네
(Again, as before, alone)","H. Duparc 뒤파르크
1. Chanson Triste 슬픈 노래
2. L'Invitation au Voyage 여로에의 초대
M. Ravel 라벨
3. Chanson a boire from Don Quichotte a Dulcinee
<될시네 공주에게 마음쏠리는 돈키호테> 중 축배의 노래","F.P. Tosti 토스티
1. Marechiare 마레키아레
2. Ideale 이상
3. La serenata 세레나데
4. Segreto 비밀
5. Aprile 4월","Encore !! 앵콜곡
1. E canta il grillo (V. Billi) 귀뚜라미의 노래 (빌리)
. Occhi di fata (L. Denza) 선녀의 두눈 (덴차)
3. Parlami d'amore, Mariu ! (C. A. Bixio)
사랑을 말해주오, 마리유! (빅시오)
4. L'ultima canzone (F.P. Tosti) 최후의 노래 (토스티)",,,,,,,,,,,,,,,,
,HANS CHOI,,국내/클래식,1992,,,최현수,"I. Vaga luna, che inargenti (4:13
아름다운 달
2. Ma rendi pur contento (3:40)
사랑이여 날 만족케 해주오
DONIZETTI · 도니제티
3. Me voglio fa'na casa (3:11)
집을 한채 짓고싶어
SCHUMANN· 슈만
4. Mit Myrten und Rosen (4:39)
미르테와 함께 장미꽂을
5. Meine Rose (4:03)
나의 장미
6. Schöne Wiege meiner Leiden (4:59)
슬픔의 요람이여","ICHAIKOVSKY · 차이코프스키
7. Nyet, tolko tot kto znal (3:39
다만 그리움을 아는 이만이
8. Serenada Don Juana (3:13)
돈환의 세레나데
9. Snova, kak prezhd'e, adin (2:54)
예전같이 나는 홀로라네
LISZT · 리스트
Tre sonetti di Petrarca
페트라르카의 시에 의한 3개의 노래
10. I Pace non trovo (8:18)
평화는 찾지 못하고
11. II Benedetto sia 1 giorno (7:02)
축복있으라 날(日), 달(月), 해(年)에게","12. ⅢI I vidi in terra angelici costumi (7:06) - 지상의 천사 같은 자태
TOSTI · 토스티
13. Ideale (3:46)
이상
14. Malia (3:22)
매혹
15. Tristezza (4:27
스표
16. Aprile (4:20)
4월","DI CAPUA · 디 카푸아
17. O Sole Mio (3:11)
오 나의 태이
YEON-JOON, KIM · 김연준
18. I'll Live Among the Green Hill (4:10)
청산에 살리라
ITALIAN FOLK SONG · 이탈리아 민요
19. Tiritomba (1:30)
티리톰비
DE CURTIS · 데 쿠르티스
20. Torna A Surriento (2:30
돌아오라 소렌토로
YONG-HA, YOON · 윤용하
21. In the Barley Field (6:30)
보리밭",,,,,,,,,,,,,,,,
,FURTHER STUDIES IN HIGH FIDELITY,,수입/클래식,,,,,,,,,,,,,,,,,,,,,,,,
,"千と千尋の神隠し

上うキルののいしに

サウンドトラック",,수입/world & jpop,2001,일본,,,"1.あの夏へ
2.とおり道
3.誰もいない料理店
4.夜来る
5.竜の少年
6.ボイラー虫
7.神さま達
8.湯婆婆","1.湯屋の朝
2.あの日の川
3.仕事はつらいぜ
4.おクサレ神
5.千の男気
6.底なし穴
7.カオナシ","1.6番目の駅
2.湯婆婆狂乱
3.沼の底の家
4.ふたたび
5.帰る日
6.いつも何度でも※",,,,,,,,,,,,,,,,,
,"魔女の宅急便

サントラ音楽集",,수입/world & jpop,2020,일본,,,"1.晴れた日に…
2.旅立ち
3.海の見える街
4.空とぶ宅急便
5.パン屋の手伝い
6.仕事はじめ
7.身代りジジ
8.ジェフ
9.大忙しのキキ
10.パーティーに間に合わない","1.オソノさんのたのみ事…
2.プロペラ自転車
3. とべない!
4.傷心のキキ
5.ウルスラの小屋へ
6.神秘なる絵
7.暴飛行の自由の冒険号
8.おじいさんのデッキブラシ
9.デッキブラシでランデブー
10. ルージュの伝言※
11.やさしさに包まれたなら",,,,,,,,,,,,,,,,,,
,魔女の宅急便 イメージアルバム,,수입/world & jpop,2020,일본,,,"1.かあさんのホウキ
2.ナンパ通り
3. 町の夜
4.元気になれそっ
5.渚のデイト
6.風の丘","1.トンボさん
2.リリーとジジ
3.世界って広いわ
4.パン屋さんの窓
5.突風
6.木洩れ陽の路地",,,,,,,,,,,,,,,,,,
,君たちはどう生きろか サウンドトラック,,수입/world & jpop,2023,일본,,,"1.Ask me why(疎開)
2.白壁
3.青サギ
4.追憶
5.青サギⅡ
6.黄昏の羽根
7.思春期
8.青サギⅡ
9. 静寂
10.青サギの呪い
11.矢羽根
12.Ask me why(母の思い)","1.ワナ
2.聖域
3. 墓の主
4. 箱船
5.ワラワラ
6.転生
7.火の雨
8.呪われた海
9.別れ","1. 回顧
2.急接近
3.陽動
4.炎の少女
5.眞人とヒミ
6.回廊の扉
7. 巣穴
8.祈りのうた(産屋)
9.大伯父
10. 隠密
11.大王の行進","1.大伯父の思い
2.Ask me why(眞人の決意)
3. 大崩壊
4.最後のほほえみ
5.地球儀/米津玄師",,,,,,,,,,,,,,,,
,"JOE HISAISHI IN VIENNA

SYMPHONY NO. 2 · VIOLA SAGA",,수입/클래식,2024,독일,,히사이시조,"SYMPHONY NO. 2
SIDE A

1.

WHAT THE WORLD IS NOW?

11:45

1I. VARIATION 14

11:19

SIDE B
III. NURSERY RHYME

.14:41","VIOLA SAGA
SIDE A
MOVEMENT 1

.. 11:23

SIDE B
MOVEMENT 2

.. 10:0",,,,,,,,,,,,,,,,,,
,もののけ焼,,수입/world & jpop,2020,일본,,,"1.第一章 アシタカ站記
2.第二章 TA·TA·RI·GAMI
3.第三章 旅立ち~西へ~
4.第四章 もののけ姫","1、第五章 シシ神の森
2.第六章 レクイエム~呪われた力~
3.第七章 黄泉の世界~生と死のアダージョ~
4.第八章 アシタカとサン",,,,,,,,,,,,,,,,,,
,もののけ姫,,수입/world & jpop,2020,일본,,,"1. アシタカ脂記
2. タタリ神
3.旅立ち 一西ヘー
4.呪われた力
5.穢土
6.出会い
7.コダマ達
8. 神の森
9.夕暮れのタタラ場
10.タタリ神Ⅱ一うばわれた山ー","1.エボシ御前
2. タタラ踏む女達ーエボシ タタラうた
3.修羅
4.東から来た少年
5.レクイエム
6. 生きろ
7.シシ神の森の二)
8. もののけ姫 インストゥルメンタル バージョン
9. レクイエムⅡ","1.もののけ姫 ヴォーカル
2.戦いの太鼓
3.タタラ場前の闘い
4.呪われたカⅡ
5. レクイエムⅢ
6. 敗走
7.タタリ神Ⅲ","1.死と生のアダージョ
2.黄泉の世界
3.黄泉の世界Ⅱ
4.死と生のアダージョⅡ
5.アシタカとサン
6.もののけ姫 ヴォーカル エンディング
7.アシタカ輩記 エンディング",,,,,,,,,,,,,,,,
,産の上のポニョ,,수입/world & jpop,2021,일본,,,"1.深海牧場
2.海のおかあさん
3.出会い
4.浦の町
5. クミコちゃん
6.ポニョと宗介
7.からっぼのバケツ
8. 発光信号
9.人間になる!
10. フジモト","1. いもうと達
2.ポニョの飛行
3. 嵐のひまわりの家
4. 波の魚のポニョ
5. ポニョと宗介Ⅱ
6. リサの家
7.新しい家族
8. ポニョの子守唄
9. リサの決意
10. グランマンマーレ
11.流れ星の夜","1. ポンポン船
2. ディプノリンクスの海へ
3. 船団マーチ
4. 赤ちゃんとポニョ
5.船団マーチⅡ
6.宗介の航海
7.宗介のなみだ
8.水中の町
9.母の愛
10.トンネル
11.トキさん
12. いもうと達の活躍
13.母と海の讃歌
14.フィナーレ
15.崖の上のポニョ(映画バージョン)",,,,,,,,,,,,,,,,,
,トトロ となりの,,수입/world & jpop,1988,일본,,,"こんまーオープニング主題歌
詞/中川李枝子 作曲·編曲/久石讓
歌/井上あずみ 2分43秒
五月の村
作曲/久石譲 編曲/平部やよい 1分35秒
オバケやしき!
曲·編曲/久石讓 1分22秒
メイとすすわたり
作曲·編曲/久石讓 1分39秒
夕暮れの風
作曲·編曲/久石譲1分01秒
こわくない
作曲·編曲/久石讓 44秒
おみまいにいこう

サウンドトラック集

作曲·編曲/久石讓 1分2|秒
おかあさん
作曲·編曲/久石譲 スキャット/井上あずみ 1分05秒
小さなオバケ
作曲·編曲/久石讓 3分51秒

ト7口

作曲/久石譲 編曲/久石譲、平部やよい 3分07秒
塚森の大樹
曲·編曲/久石讓 2分14秒
まいご
作詞/中川李枝子 作曲·編曲/久石譲
歌/井上あずみ 3分49秒","虱のとおり道
インストゥルメンタル)作曲·編曲/久石譲 3分18秒
ずぶぬれオバケ
編曲/久石讓 2分33秒
月夜の飛行
作曲/久石譲 編曲/久石譲、平部やよい 2分04秒
メイがいない
作曲/久石譲 編曲/平部やよい 2分27秒
ねこバス
作曲/久石譲 編曲/平部やよい 2分1秒
よかったね
作曲/久石譲 編曲/平部やよい 1分14秒
となりのトトローエンディング主題歌
作詞/宮崎駿 作曲·編曲/久石譲 4分17秒
さんぼ
昌つき)作詞/中川李枝子
作曲/久石讓 編曲/武市昌久
歌/井上あずみ、杉並児童合唱団 2分4",,,,,,,,,,,,,,,,,,
,HOWL'S MOVINGCASTLE,,수입/world & jpop,2020,,,,"01. -オープニング-人生のメリーゴーランド

02. 陽気な軽騎兵

03. 空中散歩

04. ときめき

05. 荒地の魔女

06. さすらいのソフィー

07.魔法の扉

08. 消えない呪い

09. 大掃除

10.星の湖(うみ)へ","11. 静かな想い

12.雨の中で

13. 虚栄と友情

14. 90歳の少女

15. サリマンの魔法陣~城への帰還

16. 秘密の洞穴

17. 引越し

18. 花園

19. 走れ!

20.恋だね","1. ファミリー
2. 戦火の恋
3. 脱出
4. ソフィーの城
5.星をのんだ少年
6.ーエンディングー世界の約束~人生のメリーゴーランド",,,,,,,,,,,,,,,,,
,THE BEST OF WES MONTGOMERY,,수입/재즈,,미국,,,"1. I'VE GROWN ACCUSTOMED TO HER FACE
(Lerner, Loewe) (Chappell & Co., Inc .- ASCAP)
2. LOVE WALKED IN
(George & Ira Gershwin)
I & Co., Inc .- ASCAP
3. DARN THAT DREAM
(De Lange, Van Heusen)
Bregman' Vocco & Conn-ASCAP)
4. 'ROUND MIDNIGHT
(Monk, Williams) (Advanced Music-ASCAP)
5. YESTERDAYS
(Harbach, Kern) (T. B. Harms-ASCAP)","1. (I DON'T STAND) A GHOST OF A CHANCE
(Crosby, Washington,usic_ASCAP)
2. ONE FOR MY BABY
(Mercer, Arlen) (E. H. Morris & Co .- ASCAP)

y was using

3. I WISH I KNEW
(Gordon, Warren) (Triangle Music-ASCAP)
4. THE LAMP IS LOW
(Parish, DeRose, Shefter) (Robbins Music-ASCAP)",,,,,,,,,,,,,,,,,,
,helen merrill,,수입/재즈,1957,미국,,,"DON'T EXPLAIN
(Holiday-Herzog) 5:13
YOU'D BE SO NICE TO COME HOME TO
(Cole Porter) 4:22
WHAT'S NEW
(Burke-Hagg
AITH, guitar
(Burke-Haggart) 5:04
N LOVE WITH LOVE
FALLING IN LOVE W
(Rodgers-Hart) 3:56","YESTERDAYS
(Kern-Harbach) 6:0
BORN TO BE BLUE
(Hoffman-Silver) 5:1
'S WONDERFUL
(George & Ira Gershwin) 3:16
BYE BYE BLACKBIRD
(Hernderson-Dixon) 2:57",,,,,,,,,,,,,,,,,,
,ECM,,수입/world & jpop,1983,독일,,Ralph Towner Paul McCandless Collin Walcott Glen Moore,"[1.]
The Rapids (Towner)

8:25

[5.]

Arianna (Moore)

6:25

Towner: Prophet 5 synthesizer, piand

McCandless: oboe, English horn

Moore: bass
McCandless: soprano saxophone

Towner: 12-string guitar, Prophet 5
Walcott: sitar

Walcott: percussion

Moore: bass

(Towner, Distant Hills Music-ASCAP)

(Moore, Moore Music-ASCAP)

[2.]
Beacon (Oregon)

2:52

[6.]

There Was No Moon That Night (Oregon)
7:17

Moore: viola

McCandless: bass clarinet

McCandless: oboe

Walcott: percussion

Towner: Prophet 5

Moore: bass

Walcott: percussion

Towner: classical guitar, Prophet 5

(Oregon, Grazing Dreams Music-ASCAP)

Oregon, Bocal Music-ASCAP)

[3.]
Taos (Oregon)

6:11

[7.]
Skyline (Oregon)

1:18

McCandless: tin flute
Towner: classical guitar, Prophet 5

Towner: Prophet 5
Moore: bass

Walcott: percussion, tongue drum

Walcott: percussion

Moore: bass

(Oregon, Distant Hills Music-ASCAP)

Oregon, Grazing Dreams Music-ASCAP)

[4.]

[8.]

7:51

Beside a Brook (McCandless)

Impending Bloom (Moore)

4:19

McCandless: English horn, musette

VcCandless: oboe, English horn

Walcott: bass drum, voices

Towner: piano, Prophet 5
Moore: bass

Towner: Prophet 5
Moore: piano, bass

(McCandless, Bocal Music-ASCAP)

(Moore, Moore Music-ASCAP)",,,,,,,,,,,,,,,,,,,
,Distaut ,,수입/클래식,1973,미국,,,"1.AURORA
2.DARK SPIRIT
3.MI CHINTA SUITE","1. DISTAUT HILLS
2.CANYON SONG
3. SONG FOR A FRIEND
4. CONFESSION",,,,,,,,,,,,,,,,,,
,CALIFORNIA BLUES,,수입/pop,,,,,,,,,,,,,,,,,,,,,,,,
,WILLIAM GALISON,,수입/pop,1989,,,WILLIAM GALISON,"LOOKS LIKE DECEMBER (4:24) 
WHEN I FALL IN LOVE (6:14) 
JULIA (3:30)
ANTONIO'S SONG (5:47)
OVERJOYED (5:59)","SWEET LOVE (5:08)
NO MORE BLUES (6:47)
(V. Young/E. Heyman)
JUST THE WAY YOU ARE (4:46)
NIGHT IN NEW YORK (5:22)
CLOSE AS WE CAN GET (4:22)",,,,,,,,,,,,,,,,,,
,"ELVIN JONES JAZZ MACHINE ""Live in Japan 1978""",,수입/재즈,1990,,,ELVIN JONES,"1. E.J.Blues
Elvin Jones

(15:27)

Dukyun Industries

2. House That Love Built
Frank Foster","1. A Love Supreme

(26:45)
Part 1 Acknowledgement
Part 2 Resolution
John Coltrane",,,,,,,,,,,,,,,,,,
,"Duke
Ellington
THE
ORCHESTRA",,수입/클래식,1987,,,Duke Ellington,"Satin Doll
Cottontail
Prelude To A Kiss
Perdido","22 Cent Stomp
Do Nothin' Till You Hear From Me
In A Mellotone
Take The A Train",,,,,,,,,,,,,,,,,,
,Pat Metheny & Lyle Mays,,수입/pop,1980,미국,,,"As Falls Wichita,
So Falls Wichita Falls
20 :4","Ozark 4:03
September Fifteenth (dedicated to Bill Evans) 7: 44
""It's For You"" 8 : 20
Estupenda Graça 2:40",,,,,,,,,,,,,,,,,,
,"DI MEOLA JOHN MC
CLAUGHLIN DE LUCIA",,수입/pop,1981,,,,"1. MEDITERRANEAN SUNDANCE/RIO ANCHO
Composers: Al Di Meola and
Paco DeLucia
Performed by Paco DeLucia (Left Channel)
and Al Di Meola (Right Channel)
2. SHORT TALES OF THE BLACK FOREST
Composer: Chick Corea
Performed by John McLaughlin (Left Channel)
and Al Di Meola (Right Channel)","1. FREVO RASGADO
Composer: Egberto Gismonti
Performed by John McLaughlin
(Left Channel) and Paco DeLucia (Right Channel)
2. FANTASIA SUITE
Composer: Al Di Meola
Performed by Paco DeLucia (Left Channel)
John McLaughlin (Middle Channel),
Al Di Meola (Right Channel)
3. GUARDIAN ANGEL
Composer: John McLaughlin
Performed by Paco DeLucia
(Left Channel), John McLaughlin (Middle Channel),
Al Di Meola (Right Channel)",,,,,,,,,,,,,,,,,,
,GETZ GILBERTO,,수입/pop,1963,미국,,GETZ GILBERTO,"side one

STAN GETZ

THE GIRL FROM IPANEMA BMI ... 5:15

JOAO GILBERTO

DORALICE RMI ... 2:45
PRA MACHUCAR MEU CORACAO BMI ... 5:07
DESAFINADO BMI ... 4:05","side tico

Direrre Encincering: Val Valentit

CORCOVADO BMI ... 4:15
SO DANCO SAMBA BMI ...

Produced by

O GRANDE AMOR BMI ... 5:25

rud Laylo

VIVO SOHANDO RMI ... 2.52",,,,,,,,,,,,,,,,,,
,AL DI MEOLA,,수입/pop,,,,,,,,,,,,,,,,,,,,,,,,
,CHET,,수입/재즈,1959,미국,,CHET BAKER,"ALONE TOGETHER (Dietz-Schwartz) 6:46
HOW HIGH THE MOON (Hamilton-Lewis) 3:31
IT NEVER ENTERED MY MIND (Rodgers-Hart) 4:36
'TIS AUTUMN (Henry Nemo) 5:12","IF YOU COULD SEE ME NOW (Tadd Dameron) 5:11
SEPTEMBER SONG (Anderson-Weill) 3:00
YOU'D BE SO NICE TO COME HOME TO (Cole Porter) 4:38
TIME ON MY HANDS (Adamson-Gordon-Youmans) 4:27
YOU AND THE NIGHT AND THE MUSIC (Dietz-Schwartz) 3:50",,,,,,,,,,,,,,,,,,
,MICHAEL FRANKS . BURCHFIELD NINES,,,,,,,"A1. WHEN THE COOKIE JAR IS EMPTY 5:09

L2. A ROBINSONG 3:48

A3. BURCHFIELD NINES 4:38","1. MEET ME IN THE DEERPARK 5:59

A 2. DEAR LITTLE NIGHTINGALE 5:00

3. VIVALDI'S SONG 4:13",,,,,,,,,,,,,,,,,,
,MARK-ALMOND OTHER PEOPLES ROOMS,,수입/pop,,,,MARK-ALMOND,"THE CITY
GIRL ON TABLE 4
YOU LOOK JUST LIKE A GIRL AGAIN
OTHER PEOPLES ROOMS","ONELY PEOPLE
PBODODED BY TOMMY ITPUMA. 

GIRL ON TABLE 4

JUST A FRIEND
RECORDED BY HANK CICALO
THEN I HAVE YOU
AND AL SCHMITT
VIVALDI'S SONG
MIXED BY AL SCHMITT",,,,,,,,,,,,,,,,,,
,Nina Simone,,수입/pop,1988,독일,,Nina Simone,"It's Cold Out Here 5'35
Apple Jaw Music
Porgy 4'59
New Adaptation & Arrangement Nina Simone & Eddie Singleto
Chappell and Co. Inc./Gershwin Publishing Co.
I Sing Just To Know That I'm Alive 3'26
(Nina Simone) Thandewyne Music
For A While 2'54
Bob Gaudic dake Holmes)
De Valbo Music Co./Sergeant Music Co","Fodder On Her Wings
5'12
(Nina Simone) Thandewyne Musid
Touching And Caring 5'32
Eddie Singleton) Tarca Music
Saratoga
3'20
Sam Waymon, Bill Gunn) Annubus Music
You Must Have Another Lover
4'30

(Arthur Adams) Apple Jaw Music",,,,,,,,,,,,,,,,,,
,"Rob Wasserman
solo",,수입/pop,,미국,,Rob Wasserman,"Thirteen
Lima Twist
Sunway
Punk Sizzle
Clare
Lady Be Good
Strumming","Bass Blue
Bass Space
April Aire
Freedom Bass Dance
Ode to Casals
Sara's Rainbow Song",,,,,,,,,,,,,,,,,,
,"CHET BAKER TRIO

This
Is Always",,수입/재즈,1982,덴마크,,CHET BAKER,"LE METEQUE
(거류민)-2'30.
LA MER M'A DONNE
(바다가 내게 주었네)-2'45
GASPARD
(à la guitare : R. Gimenez et Sylvano)
(가스파르)- 2'50
VOYAGE
항해)-2'15
LE FACTEUR
우편배탈부)-4'11
NATALIA
(나탈리아)-1'55","MA SOLITUDE
(나의 고독)-2'59
IL EST TROP TARD
(너무 늦었네)-2'40
LA CARTE DU TENDRE
(사랑의 지도)-3'01
LE TEMPS DE VIVRE
(du film ""Le Temps de Vivre "")
(자유로운 삶을 향하여)-252
JOSEPH
요셉)-225
RUE DES FOSSES SAINT-JACQUES
(생쟈크 광장)-129",,,,,,,,,,,,,,,,,,
,Bravo! Jazz Life,,수입/재즈,2010,,,,"I Loves You Porgy - 배장은
Valse Primavera -라벤타나
Blame It On My Youth - 웅산 밴드
Festivo -페루스
After The Love Has Gone -배장은","강선생 브루스 - 임인건
Yesterday - 웅산 밴드
Farewell - 윈터플레이
You Are So Beautiful - 이정식 & 이발차
길 (The Road) - 전성식 스트링 트리오","My Way - 김준 & 재즈파크 빅밴드
Whisper Not - 한국재즈 1세대 밴드
Moonglow - 한국재즈 1세대 밴드
Reminiscence - 이선지","류복성의 수사반장 -류복성 재즈 올스타
Corcovado - 김수열 쿼텟
Polka Dots & The Moonbeam - 김수열 쿼텟
All of Me - 박성연 & 한국재즈, 1세대 밴드
물안개 - 박성연 & 한국재즈 1세대 밴드",,,,,,,,,,,,,,,,
,"CANNONBALL
ADDERLEY

SOMETHIN'

ELSE",,수입/재즈,2015,EU,,"MILES DAVIS
HANK JONES
SAM JONES
ART BLAKEY",,,,,,,,,,,,,,,,,,,,
,"I'm Alright

WOONG SAN",,국내/가요,2018,독일,,WOONG SAN,"01 > Smoke Gets In Your Eyes 05:56
Lyrics by Otto Harbach Music by Jerome Kern Arranged by John Beasley
02> Heartless 03:28
Lyrics by Juhan Lee Music by Jami Soul Arranged by Jami Soul
03 > Bear Walk 04:29
Lyrics by Lauren Kinhan Music by Jiro Yoshida Arranged by John Beasley
04> Too Far 04:38
Lyrics by Woong San Music by Jami Soul Arranged by Jami Soul
05 > Love Is A Losing Game 05:06
Lyrics by Woong San, Benny Han Music by Woong San, Jami Soul
Arranged by Jami Soul","01> I'm Alright 04:22
Lyrics by Woong San, Juhan Lee Music by Woong San, Jami Soul
Arranged by Jami Soul
02>
You And The Night And The Music 03:41
Lyrics by Howard Dietz Music by Arthur Schwartzw Arranged by John Beasley
03 > | Love You More Than You'll Ever Know 06:41
Lyrics & Music by Al Kooper Arranged by Woong San
04> | Can't Stand The Rain 05:37
Lyrics & Music by Don Bryant, Ann Peebles, Bernard Miller
Arranged by Woong San
05> Tell Me Why 03:53
Lyrics & Music by Woong San Arranged by Woong San",,,,,,,,,,,,,,,,,,
,TUCK & PATTI,,수입/pop,1988,미국,,"Patti Cathcart: Vocals
Tuck Andress: Guitar","Tears of Joy 3:54
Takes My Breath Away 4:55
I've Got Just About Everything 3:11
Time After Time 4:47
Everything's Gonna Be All Right 3:52","Better Than Anythi
My Romance 3:37
Up and At It 4:58
Mad Mad Me 5:38
Love is the Key 3:48",,,,,,,,,,,,,,,,,,
,THE BEST WOONG SAN,,국내/가요,2008,독일,,WOONG SAN,"1. On a Sunny Day (매일 그대와)

02:48

2. Yesterday

04:29

3. Street Life

04:22

4. The Days of Wine and Roses","1. Hey Boy

04:19

2. Feel Like Makin' Love

04:40

3. Light My Fire

04:11

4. I Love You

04:42","1. It Had to be You

04:20

2. Una Furtiva Lagrima

04:55

3. I can't Help Myself

05:1

4, Savannah Woman

03:46","1. Tomorrow

04:13

2. 미소를 띄우며 나를 보낸 그 모습처럼
04:39

3. Beautiful Arirang

04:29

4. Jazz is My Life

04:06",,,,,,,,,,,,,,,,
,"WHO STOLE THE SKIES
WOONG SAN THE 10th",,국내/가요,2023,,,WOONG SAN,"꿈이로다
비새
I'm not a butterfly
가나다라 Blues","who stole the skies
오늘
틔우리라
사주팔자",,,,,,,,,,,,,,,,,,
,Moon Tenderly,,국내/가요,,,,,,,,,,,,,,,,,,,,,,,,
,Ron Carter Pastels,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CONTEMPORARY

ALTERNATE Takes
SOnny BOLLInS",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wes Montgomery
Bumpin'

Arranged & Conducted
by DON SEBESKY",,,,,,,,,,,,,,,,,,,,,,,,,,
,"CHRIS
BLUE NOTE
BOTTI",,,,,,,,,,,,,,,,,,,,,,,,,,
,"CHET
BAKER
SINGS",,,,,,,,,,,,,,,,,,,,,,,,,,
,Mariah carey merry christmas,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHRISTMAS JAZZ,,,,,,NAT KING COLE,,,,,,,,,,,,,,,,,,,,
,"GREEN STREET
GRANT GREEN BEN TUCKER, bass, DAVE BAILEY, drums",,,,,,,,,,,,,,,,,,,,,,,,,,
,"ELLA FITZGERALD &
LOUIS ARMSTRONG",,,,,,,,,,,,,,,,,,,,,,,,,,
,lee oskar,,,,,,,,,,,,,,,,,,,,,,,,,,
